---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:09:56 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 76
decoder.bytes                                                | Total                     | 21223
decoder.ipv4                                                 | Total                     | 76
decoder.tcp                                                  | Total                     | 70
tcp.syn                                                      | Total                     | 7
tcp.synack                                                   | Total                     | 2
tcp.rst                                                      | Total                     | 5
decoder.udp                                                  | Total                     | 6
decoder.avg_pkt_size                                         | Total                     | 279
decoder.max_pkt_size                                         | Total                     | 1490
tcp.active_sessions                                          | Total                     | 1
flow.total                                                   | Total                     | 9
flow.active                                                  | Total                     | 9
flow.tcp                                                     | Total                     | 6
flow.udp                                                     | Total                     | 3
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 5
tcp.sessions                                                 | Total                     | 1
tcp.ssn_from_pool                                            | Total                     | 1
tcp.invalid_checksum                                         | Total                     | 31
detect.alert                                                 | Total                     | 76
app_layer.flow.dns_udp                                       | Total                     | 3
app_layer.tx.dns_udp                                         | Total                     | 6
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9500
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 2
flow.mgr.flows_notimeout                                     | Total                     | 2
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 136384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 366144
ippair.memcap                                                | Total                     | 366144
host.memuse                                                  | Total                     | 350144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 6834304
---------------------------------------------------------------------------------------------------
Date: 9/25/2025 -- 13:10:04 (uptime: 0d, 00h 00m 16s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
decoder.pkts                                                 | Total                     | 128
decoder.bytes                                                | Total                     | 41215
decoder.ipv4                                                 | Total                     | 128
decoder.tcp                                                  | Total                     | 118
tcp.syn                                                      | Total                     | 7
tcp.synack                                                   | Total                     | 2
tcp.rst                                                      | Total                     | 6
decoder.udp                                                  | Total                     | 10
decoder.avg_pkt_size                                         | Total                     | 321
decoder.max_pkt_size                                         | Total                     | 1490
tcp.active_sessions                                          | Total                     | 1
flow.total                                                   | Total                     | 14
flow.active                                                  | Total                     | 14
flow.tcp                                                     | Total                     | 9
flow.udp                                                     | Total                     | 5
flow.wrk.spare_sync_avg                                      | Total                     | 100
